trial_id,Model Name,NDCG@10,HitRate@10,MRR@10,Catalog coverage@10,Serendipity@10,Novelty@10,NDCG@20,HitRate@20,MRR@20,Catalog coverage@20,Serendipity@20,Novelty@20
1,BERT4REC,0.023901608064138075,0.044170890658942794,0.017797374803167707,0.13070290983115795,0.04344677769732078,13.130577690402928,0.030582645590294825,0.07096307023895727,0.019583843991438882,0.20865764579092325,0.06806661839246922,13.188955712150406
2,BERT4REC,0.020359080610496714,0.03837798696596669,0.014921037205613599,0.1712968506765657,0.03837798696596669,13.404507068967268,0.02768319766451459,0.06734250543084722,0.016933077686239233,0.2661357921207041,0.06517016654598118,13.431473769640181
3,BERT4REC,0.019268235342199642,0.036929761042722664,0.014011011114559267,0.16620763980361633,0.036929761042722664,13.430398804026968,0.026746271327886904,0.0666183924692252,0.016048169689919848,0.2553586396838702,0.06517016654598118,13.444177746568194
4,BERT4REC,0.02573573695333024,0.05213613323678494,0.017816627012861627,0.12267991857262603,0.05141202027516292,13.247759990863802,0.03425137626732148,0.08616944243301955,0.02010982956054056,0.1925517902047659,0.08254887762490949,13.303513633712846
5,BERT4REC,0.025023128364216402,0.05141202027516292,0.017191935910255966,0.08406178900730452,0.05068790731354091,12.892868799165562,0.030844081957849403,0.07458363504706735,0.01877200736560289,0.1383067896060352,0.07241129616220131,12.951351823828464
6,BERT4REC,0.021495208923004144,0.04489500362056481,0.014564727653069433,0.07897257813435517,0.044170890658942794,13.087303704865425,0.026818630077055258,0.0666183924692252,0.015937541734486336,0.12800862172194946,0.06444605358435916,13.128498064510534
7,BERT4REC,0.01947945251104299,0.03765387400434468,0.014084571796374836,0.17207520057478146,0.036929761042722664,13.613489004949486,0.025042091304028527,0.06010137581462708,0.01555112470857556,0.26415998084061787,0.05792903692976104,13.586125316889564
8,BERT4REC,0.023803138875524748,0.05068790731354091,0.015831063296667933,0.11411806969225242,0.05068790731354091,13.206447066991759,0.03054998333324608,0.0774800868935554,0.01767069634299151,0.1853670219135433,0.07168718320057929,13.236810224602786
9,BERT4REC,0.024999896877096323,0.048515568428674875,0.017992770364240313,0.09406059154592264,0.04779145546705286,12.571425477668138,0.0304019223983634,0.07023895727733527,0.019429582953765637,0.1545323913303796,0.06734250543084722,12.666603253586173
10,BERT4REC,0.018195011460299497,0.03837798696596669,0.012138374538809008,0.12591306430367621,0.03765387400434468,13.376562884879819,0.02713999886419012,0.07385952208544533,0.014582594750278463,0.20039516225601725,0.07241129616220131,13.397202563051122
11,BERT4REC,0.01733439391170585,0.03403330919623461,0.012331183982161533,0.19662315890312537,0.03403330919623461,13.7460584545428,0.023515811963885136,0.05937726285300507,0.013910619603705559,0.2949347383546881,0.05937726285300507,13.702690554959199
12,BERT4REC,0.01746041492104877,0.03765387400434468,0.011401330988586601,0.16285474793437912,0.03765387400434468,13.56332370367177,0.024901003265113877,0.06734250543084722,0.01340700374976363,0.2512273979164172,0.06444605358435916,13.537467920147048
13,BERT4REC,0.02194940965428605,0.04706734250543085,0.014417606289438294,0.1250748413363669,0.04634322954380883,13.220886533245334,0.029907841835094783,0.07892831281679942,0.016548732429897198,0.20093401987785894,0.07530774800868936,13.261273691363845
14,BERT4REC,0.020984758368723978,0.03837798696596669,0.015738537751571784,0.16075919051610585,0.03837798696596669,13.559948099960108,0.029281021048652812,0.07168718320057929,0.017952612839798057,0.25110765177823013,0.07023895727733527,13.548458939128206
15,BERT4REC,0.02080745463995537,0.04344677769732078,0.01395986345298438,0.08280445455634056,0.042722664735698766,12.984767485817507,0.028323059846689667,0.07313540912382331,0.016027414997347493,0.1399233624715603,0.06806661839246922,13.019634318460575
16,BERT4REC,0.02423091371790136,0.0499637943519189,0.016601439030838015,0.12896659082744583,0.049239681390296886,13.135613409560323,0.030663166799033092,0.07530774800868936,0.018381662025749295,0.2060831038199018,0.07313540912382331,13.180120277253973
17,BERT4REC,0.023378156703400967,0.042722664735698766,0.01741031918439594,0.08376242366183691,0.042722664735698766,12.894532153475403,0.032663814481810716,0.07965242577842144,0.019931640107854007,0.13597173991138786,0.07530774800868936,12.974297470751056
18,BERT4REC,0.02087964437676765,0.04706734250543085,0.012907888233739066,0.1173512154233026,0.04706734250543085,13.332597811908004,0.026537103143713398,0.06951484431571325,0.014448368502532375,0.18518740270626272,0.06879073135409124,13.338375414036774
19,BERT4REC,0.020394454489774186,0.04634322954380883,0.012649276461731206,0.16944078553466652,0.04561911658218682,13.542300197358692,0.02829644777294897,0.0774800868935554,0.01483562182787965,0.2581128008621722,0.07313540912382331,13.54347897149092
20,BERT4REC,0.02075930764882107,0.041998551774076756,0.014451513166212659,0.1242366183690576,0.041274438812454746,13.31516886275004,0.029671590195511164,0.0774800868935554,0.016868014632736208,0.19488683989941324,0.07458363504706735,13.334139735259319
